2025-12-28 16:45:54,702:INFO:RewardSystem reset.
2025-12-28 16:45:54,702:INFO:Connected to SpaceCadetPinball shared memory
2025-12-28 16:45:54,702:INFO:Connected to SpaceCadetPinball shared memory - using direct ball position!
2025-12-28 16:45:54,702:INFO:GameControl initialized
2025-12-28 16:45:54,705:INFO:PinballEnv initialized with observation shape (240, 320, 3)
2025-12-28 16:45:59,329:INFO:RewardSystem reset.
2025-12-28 16:45:59,849:INFO:BALL: (-7.0, 11.6) speed=0.5 score=0
2025-12-28 16:45:59,867:INFO:BALL: (-7.0, 11.6) speed=0.4 score=0
2025-12-28 16:45:59,885:INFO:BALL: (-7.0, 11.6) speed=0.2 score=0
2025-12-28 16:45:59,904:INFO:BALL: (-7.0, 11.6) speed=0.0 score=0
2025-12-28 16:45:59,923:INFO:BALL: (-7.0, 11.6) speed=0.2 score=0
2025-12-28 16:45:59,946:INFO:BALL: (-7.0, 11.6) speed=0.3 score=0
2025-12-28 16:45:59,971:INFO:BALL: (-7.0, 11.6) speed=0.6 score=0
2025-12-28 16:45:59,989:INFO:BALL: (-7.0, 11.6) speed=0.7 score=0
2025-12-28 16:46:00,009:INFO:BALL: (-7.0, 11.7) speed=0.8 score=0
2025-12-28 16:46:00,031:INFO:BALL: (-7.0, 11.7) speed=0.6 score=0
2025-12-28 16:46:00,056:INFO:BALL: (-7.0, 11.7) speed=0.5 score=0
2025-12-28 16:46:00,072:INFO:BALL: (-7.0, 11.7) speed=0.3 score=0
2025-12-28 16:46:00,092:INFO:BALL: (-7.0, 11.6) speed=0.1 score=0
2025-12-28 16:46:00,110:INFO:BALL: (-7.0, 11.7) speed=0.1 score=0
2025-12-28 16:46:00,129:INFO:BALL: (-7.0, 11.7) speed=0.2 score=0
2025-12-28 16:46:00,152:INFO:BALL: (-7.0, 11.7) speed=0.3 score=0
2025-12-28 16:46:00,175:INFO:BALL: (-7.0, 11.7) speed=0.6 score=0
2025-12-28 16:46:00,195:INFO:BALL: (-7.0, 11.7) speed=0.7 score=0
2025-12-28 16:46:00,212:INFO:BALL: (-7.0, 11.7) speed=0.4 score=0
